가사,박자,옥타브,음
곰,1,2,C
세,0.5,2,C
마,0.5,2,C
리,1,2,C
가,1,2,C
한,1,2,E
집,0.5,2,G
에,0.5,2,G
있,1,2,E
어,1,2,C
아,0.5,2,G
빠,0.5,2,G
곰,1,2,E
엄,0.5,2,G
마,0.5,2,G
곰,1,2,E
애,1,2,C
기,1,2,C
곰,2,2,C 
